,beneficiario,cargo,cpf_cnpj,cpf_cnpj_orig,data,despesa,doador,doador_orig,especie_documento,num_documento,partido,sq,uf,valor
4149,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / ADRIANA DA SILVA TORRINHA  - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,297
4150,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / ALEXANDRE COUTINHO DE CARVALHO - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4151,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / ANDRE DA SILVA TORRINHA  - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4152,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / ANGELA CARDOSO PIMENTEL - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4153,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / BRUNO MARCELO MARINHO FROES - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4154,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / DOUGLAS DE SOUZA MACHADO - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4155,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / EDILENE ALMEIDA FRANCA - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4156,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / EDY CARLOS DE ALMEIDA - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4157,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / ERICA ALMEIDA MACHADO - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4158,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / ERONILDO BRAGA BEZERRA - PC DO B - AM - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,2000
4159,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / ERONILDO BRAGA BEZERRA - PC DO B - AM - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,500
4160,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / FABIANO DOS SANTOS MAQUINE  - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
4161,ERONILDO BRAGA BEZERRA - DEPUTADO FEDERAL - PC DO B - AM / FELIPE AIRES DA SILVA  - NULL - NULL - DEPUTADO FEDERAL,DEPUTADO FEDERAL,,,22/07/2014,Baixa de recursos estimáveis em dinheiro,,,,,PC do B,40000000087,AM,240
