nome,partido,uf,cargo,sequencial
"ANTONIO OLIVA DE ARAUJO",PEN,SP,"DEPUTADO FEDERAL",250000003079
"JOSIEL RIBEIRO DOS SANTOS",PEN,SP,"DEPUTADO ESTADUAL",250000003077
"LORENI RODRIGUES",PRTB,SP,"DEPUTADO FEDERAL",250000002326
"SAMUEL UBELINO RIBEIRO",PRTB,SP,"DEPUTADO ESTADUAL",250000002325
"MARIA DE FÁTIMA LODI SIQUEIRA",PRTB,SP,"DEPUTADO ESTADUAL",250000002323
"JAILTON GUILHERME FERREIRA",PRTB,SP,"DEPUTADO ESTADUAL",250000002320
"IRANI CARVALHO DOS SANTOS",PRTB,SP,"DEPUTADO ESTADUAL",250000002319
"GEORGES HABIB JARROUGE",PRTB,SP,"DEPUTADO ESTADUAL",250000002317
"ELIANE APARECIDA STEFANI",PRTB,SP,"DEPUTADO ESTADUAL",250000002314
"CLAÚDIO JOSÉ AUGUSTO DOS SANTOS",PRTB,SP,"DEPUTADO ESTADUAL",250000002311
"ADRIANA ROSE FERNANDES",PRTB,SP,"DEPUTADO ESTADUAL",250000002310
"VANDERLINO BATISTA MACHADO",PR,SP,"DEPUTADO ESTADUAL",250000000749
"ANTONIO FRANCISCO DE OLIVEIRA",PSOL,SP,"DEPUTADO FEDERAL",250000001824
"LUIZ ROBERTO NOGUEIRA JUNIOR",PR,SP,"DEPUTADO ESTADUAL",250000000753
"LUIZ FERNANDO BASSAN CÉZAR",PR,SP,"DEPUTADO ESTADUAL",250000000733
"DAVISON JOSE ROSSATTO",PHS,SP,"DEPUTADO ESTADUAL",250000003302
"MARCOS CORREA GALHEGO",PV,SP,"DEPUTADO ESTADUAL",250000001058
"VALERIA APARECIDA COLOMBI",PSDB,SP,"DEPUTADO ESTADUAL",250000001579
"MARIA GEORGINA DA SILVA ARIETTI",PHS,SP,"DEPUTADO FEDERAL",250000002923
"ELENI SANTOS DA SILVA",PSDB,SP,"DEPUTADO FEDERAL",250000001406
"JOSÉ ROBERTO NICOLAI",PTN,SP,"DEPUTADO ESTADUAL",250000000225
"EVANDIO SANTOS CANGUSSU",PTN,SP,"DEPUTADO ESTADUAL",250000000194
"VALDOMIRO VENTURA DA SILVA",PSL,SP,"DEPUTADO ESTADUAL",250000000271
"ANA VENANCIO DA SILVA",PRB,SP,"DEPUTADO ESTADUAL",250000001581
