"nome","partido","uf","cargo","sequencial"
"SEBASTIÃO SOUZA QUEIROZ","PDT","AM","DEPUTADO FEDERAL",40000000097
"INALDO CRUZ PLACIDO","PDT","AM","DEPUTADO FEDERAL",40000000098
"MARTA FRANCISCA COSTA DOS SANTOS","PRB","AM","DEPUTADO FEDERAL",40000000099
"RONALDO BARROSO TABOSA DOS REIS","PP","AM","DEPUTADO ESTADUAL",40000000100
"ÁLVARO JOÃO CAMPELO DA MATA","PP","AM","DEPUTADO ESTADUAL",40000000101
"MÁRCIO ANDRÉ BRAGA FERREIRA","PP","AM","DEPUTADO ESTADUAL",40000000102
"FELIPE RAMOS ANDRÉ","PP","AM","DEPUTADO ESTADUAL",40000000103
"ADJUTO RODRIGUES AFONSO","PP","AM","DEPUTADO ESTADUAL",40000000104
"WANDER PINTO CHICOLET","PP","AM","DEPUTADO ESTADUAL",40000000105
"MECIAS PEREIRA BATISTA JUNIOR","PP","AM","DEPUTADO ESTADUAL",40000000106
"MANUEL VICENTE FERREIRA LIMA","PP","AM","DEPUTADO ESTADUAL",40000000107
"ROBSON NONATO RODRIGUES DA GAMA","PP","AM","DEPUTADO ESTADUAL",40000000108
"LEANDRO JOSÉ PERES DE ARAÚJO","PP","AM","DEPUTADO ESTADUAL",40000000109
"LUCIANA ALVES DA SILVA","PP","AM","DEPUTADO ESTADUAL",40000000110
"NEDY SANTANA VALE","PP","AM","DEPUTADO ESTADUAL",40000000111
"ESTER CRISTINNE FERREIRA SILVA","PP","AM","DEPUTADO ESTADUAL",40000000112
"SOCORRO MARIA ROCHA DE LIRA","PP","AM","DEPUTADO ESTADUAL",40000000113
"JOAO BOSCO RODRIGUES","PP","AM","DEPUTADO ESTADUAL",40000000114
"ALCIMAR RODRIGUES DOS SANTOS","PP","AM","DEPUTADO ESTADUAL",40000000115
"BELARMINO LINS DE ALBUQUERQUE","PMDB","AM","DEPUTADO ESTADUAL",40000000116
"VICENTE LOPES DE SOUZA","PMDB","AM","DEPUTADO ESTADUAL",40000000117
"JOSE WANDERLEY DALLAS REI DIAS","PMDB","AM","DEPUTADO ESTADUAL",40000000118
"BRUNO LUIS LITAIFF RAMALHO","PMDB","AM","DEPUTADO ESTADUAL",40000000119
"ERIKE BRANDÃO NOGUEIRA","PMDB","AM","DEPUTADO ESTADUAL",40000000120
"MARCEL ALEXANDRE DA SILVA","PMDB","AM","DEPUTADO ESTADUAL",40000000121
"MARCELO RUBIM PORTO","PMDB","AM","DEPUTADO ESTADUAL",40000000122
"DANIEL MENEZES RODRIGUES","PMDB","AM","DEPUTADO ESTADUAL",40000000123
"EDSON BASTOS BESSA","PMDB","AM","DEPUTADO ESTADUAL",40000000124
"NAAHBILA MOREIRA DOS SANTOS","PMDB","AM","DEPUTADO ESTADUAL",40000000125
"AYRTON FERREIRA DO NORTE","PMDB","AM","DEPUTADO ESTADUAL",40000000126
"JUAREZ RODRIGUES DE OLIVEIRA","PMDB","AM","DEPUTADO ESTADUAL",40000000127
"MAURO GIOVANNI LIPPI FILHO","PMDB","AM","DEPUTADO ESTADUAL",40000000128
"JOSE LUPERCIO RAMOS DE OLIVEIRA","PMDB","AM","DEPUTADO ESTADUAL",40000000129
"ANDRE JULIO SILVA OLIVEIRA","PRB","AM","DEPUTADO ESTADUAL",40000000130
"CARLOS ALBERTO DE CASTRO ALMEIDA","PRB","AM","DEPUTADO ESTADUAL",40000000131
"FRANCISCO VALDENIR DE SOUSA PEREIRA","PRB","AM","DEPUTADO ESTADUAL",40000000132
"JOÃO DE DEUS SANTOS COELHO","PRB","AM","DEPUTADO ESTADUAL",40000000133
"RENÊ OLIVEIRA FARIAS","PRB","AM","DEPUTADO ESTADUAL",40000000134
"ROSELY DA SILVA CAMPELLO","PRB","AM","DEPUTADO ESTADUAL",40000000135
"STALLINE ROCHA DE ARAÚJO","PRB","AM","DEPUTADO ESTADUAL",40000000136
"TELMA FERREIRA LOPES","PRB","AM","DEPUTADO ESTADUAL",40000000137
"VICTOR MONTEIRO LITAIFF","PMDB","AM","DEPUTADO ESTADUAL",40000000138
"FRANCISCO DAS CHAGAS DISSICA VALERIO TOMAZ","PMDB","AM","DEPUTADO ESTADUAL",40000000139
"ANDREA FREITAS DE OLIVEIRA","PMDB","AM","DEPUTADO ESTADUAL",40000000140
"QUITERIA ALVES PALHETA","PMDB","AM","DEPUTADO ESTADUAL",40000000141
"MIRYAM MOURA DA CUNHA","PMDB","AM","DEPUTADO ESTADUAL",40000000142
"NELIA CONCEIÇÃO MADY","PMDB","AM","DEPUTADO ESTADUAL",40000000143
"ANTONIA ALMEIDA DE SOUZA","PMDB","AM","DEPUTADO ESTADUAL",40000000144
"MARLIETE DE AGUIAR BASTOS","PMDB","AM","DEPUTADO ESTADUAL",40000000145
"MARIA DE FATIMA COSTA DA SILVA","PMDB","AM","DEPUTADO ESTADUAL",40000000146
"VALDAILDA FILHA SERRÃO DE SALES","PRB","AM","DEPUTADO ESTADUAL",40000000147
"VALTAIR CRUZ OBANDO","PT","AM","DEPUTADO ESTADUAL",40000000148
"WAGNER FERREIRA SANTANA","PT","AM","DEPUTADO ESTADUAL",40000000149
"FRANCIMAR SANTOS JUNIOR","PT","AM","DEPUTADO ESTADUAL",40000000150
"MILTINHO CASTRO DA SILVA","PT","AM","DEPUTADO ESTADUAL",40000000151
"DAVID DE CAMPOS BUAS","PT","AM","DEPUTADO ESTADUAL",40000000152
"HELENA ALVES DIAS","PT","AM","DEPUTADO ESTADUAL",40000000153
"ILTON RODRIGUES DE VASCONCELOS","PTB","AM","DEPUTADO ESTADUAL",40000000154
"JACKSON GUIMARÃES CORDEIRO","PTB","AM","DEPUTADO ESTADUAL",40000000155
"JOÃO COUTO DA SILVA","PTB","AM","DEPUTADO ESTADUAL",40000000156
"JOÃO FERREIRA VITAL NETO","PTB","AM","DEPUTADO ESTADUAL",40000000157
"JOÃO HERCULANO DE FARIAS","PTB","AM","DEPUTADO ESTADUAL",40000000158
"LUZENILSO NASCIMENTO DE SOUZA","PTB","AM","DEPUTADO ESTADUAL",40000000159
"MARCOS GOMES TAVEIRA","PTB","AM","DEPUTADO ESTADUAL",40000000160
"NAZILDO DOS REIS OLIVEIRA","PTB","AM","DEPUTADO ESTADUAL",40000000161
"RAIMUNDA JUNIOR DA ROCHA PAULA","PTB","AM","DEPUTADO ESTADUAL",40000000162
"REIZO FELICIO DA SILVA CASTELO BRANCO MAUÉS","PTB","AM","DEPUTADO ESTADUAL",40000000163
"VERA LUCIA DA SILVA CASTELO BRANCO MAUES","PTB","AM","DEPUTADO ESTADUAL",40000000164
"ANTONIO PEIXOTO DE OLIVEIRA","PT","AM","DEPUTADO ESTADUAL",40000000165
"JOSÉ RICARDO WENDLING","PT","AM","DEPUTADO ESTADUAL",40000000166
"SANSÃO RICARDO FLORES","PT","AM","DEPUTADO ESTADUAL",40000000167
"SINÉSIO DA SILVA CAMPOS","PT","AM","DEPUTADO ESTADUAL",40000000168
"MARCELO FURTADO MACHADO LEITÃO","PCB","AM","DEPUTADO FEDERAL",40000000185
"MARIA SELMA DA SILVA","PCB","AM","DEPUTADO ESTADUAL",40000000186
"FRANCISCO PEREIRA CASTELO","PCB","AM","VICE-GOVERNADOR",40000000187
"LUIZ MANOEL NAVARRO","PCB","AM","GOVERNADOR",40000000188
"ALCINDO JATOBÁ SIMÕES","PDT","AM","DEPUTADO ESTADUAL",40000000189
"ARAMIS PIETROLUONGO LEITÃO","PDT","AM","DEPUTADO ESTADUAL",40000000190
"ARMANDO JOSÉ SOARES DO ESPIRÍTO SANTO JÚNIOR","PDT","AM","DEPUTADO ESTADUAL",40000000191
"CELSO ODILON PAULA DE CASTRO","PDT","AM","DEPUTADO ESTADUAL",40000000192
"CLAUDETE DA SILVA ANGELIM","PDT","AM","DEPUTADO ESTADUAL",40000000193
"DERMILSON CARVALHO DAS CHAGAS","PDT","AM","DEPUTADO ESTADUAL",40000000194
"ERIK BRAGA GUTIERREZ","PDT","AM","DEPUTADO ESTADUAL",40000000195
"GILMAR DE OLIVEIRA NASCIMENTO","PDT","AM","DEPUTADO ESTADUAL",40000000196
"JOSÉ ARNALDO FARIAS DE SOUZA","PDT","AM","DEPUTADO ESTADUAL",40000000197
"JULIANO SANTANA DA SILVA","PDT","AM","DEPUTADO ESTADUAL",40000000198
"LUIS DE PAULA E SOUZA NETO","PDT","AM","DEPUTADO ESTADUAL",40000000199
"MARCIO DA COSTA GUERREIROS","PDT","AM","DEPUTADO ESTADUAL",40000000200
"MAURO TIAGO MACHADO CONTENTE NOGUEIRA","PDT","AM","DEPUTADO ESTADUAL",40000000201
"ROSA MARIA DE SOUZA NAZARE","PDT","AM","DEPUTADO ESTADUAL",40000000202
"SALOMÃO SOZINHO VALENTE","PDT","AM","DEPUTADO ESTADUAL",40000000203
"WALTER RODRIGUES DA CRUZ JUNIOR","PDT","AM","DEPUTADO ESTADUAL",40000000204
"ADRIA SILVA DO NASCIMENTO","PPS","AM","DEPUTADO ESTADUAL",40000000205
"ANDRÉ LUIZ BOTINELLY CUSTODIO","PPS","AM","DEPUTADO ESTADUAL",40000000206
"CHRISTIAN COSTA DOS SANTOS","PPS","AM","DEPUTADO ESTADUAL",40000000207
"EDVAR DA SILVA NUNES JUNIOR","PPS","AM","DEPUTADO ESTADUAL",40000000208
"GEYSA RIBEIRO DE ALMEIDA","PPS","AM","DEPUTADO ESTADUAL",40000000209
"GIEZE DA SILVA CORREA","PPS","AM","DEPUTADO ESTADUAL",40000000210
"IRMA RAHIM ASSIS","PPS","AM","DEPUTADO ESTADUAL",40000000211
"JACQUELINE NUNES DE MELO","PPS","AM","DEPUTADO ESTADUAL",40000000212
"JOAQUIM FRANCISCO DA SILVA CORADO","PPS","AM","DEPUTADO ESTADUAL",40000000213
"JOAQUIM JOSÉ DE ALENCAR SOUZA","PPS","AM","DEPUTADO ESTADUAL",40000000214
"JOELMA BORGES SOARES","PPS","AM","DEPUTADO ESTADUAL",40000000215
"JOSÉ HAMILTON RIBEIRO PINHEIRO","PPS","AM","DEPUTADO ESTADUAL",40000000216
"JOSÉ RAILSON DE OLIVEIRA TORRES","PPS","AM","DEPUTADO ESTADUAL",40000000217
"JUCINEI PANTOJA VALENTE","PPS","AM","DEPUTADO ESTADUAL",40000000218
"LAURIMAR WAGNO DE OLIVEIRA JUNIOR","PPS","AM","DEPUTADO ESTADUAL",40000000219
