"partido","estado","codigo"
"DEM "," AL ",14245
"PC do B "," AL ",44612
"PCB "," AL ",49094
"PCO "," AL ",3577278
"PDT "," AL ",16072
"PEN "," AL ",401479
"PEN "," AL ",85501
"PHS "," AL ",48381
"PMDB "," AL ",11907
"PMN "," AL ",13177
"PP "," AL ",6657
"PPL "," AL ",48744
"PPS "," AL ",43847
"PR "," AL ",6949
"PRB "," AL ",7212
"PROS "," AL ",712034
"PROS "," AL ",48781
"PRP "," AL ",49371
"PRP "," AL ",6490
"PRTB "," AL ",49081
"PRTB "," AL ",12746
"PSB "," AL ",45862
"PSC "," AL ",5257
"PSD "," AL ",10377
"PSDB "," AL ",45762
"PSDC "," AL ",14687
"PSL "," AL ",1276823
"PSOL "," AL ",13201
"PSTU "," AL ",15251
"PT "," AL ",5862
"PT do B "," AL ",49082
"PT do B "," AL ",5905
"PTB "," AL ",5748
"PTC "," AL ",2667031
"PTN "," AL ",401480
"PTN "," AL ",15589
"PV "," AL ",6024
"SD "," AL ",47981
"DEM "," AM ",1202662
"DEM "," AM ",30208
"PC do B "," AM ",58982
"PC do B "," AM ",45134
"PCB "," AM ",45921
"PDT "," AM ",30215
"PEN "," AM ",43670
"PHS "," AM ",48645
"PMDB "," AM ",495766
"PMDB "," AM ",30089
"PMN "," AM ",543352
"PMN "," AM ",30170
"PP "," AM ",52462
"PP "," AM ",30233
"PPL "," AM ",663599
"PPL "," AM ",45707
"PPS "," AM ",3079597
"PPS "," AM ",30223
"PR "," AM ",30146
"PRB "," AM ",591209
"PRB "," AM ",30140
"PROS "," AM ",931981
"PROS "," AM ",48945
"PRP "," AM ",663607
"PRP "," AM ",30227
"PRTB "," AM ",30094
"PSB "," AM ",30152
"PSC "," AM ",663583
"PSC "," AM ",30109
"PSD "," AM ",2155531
"PSD "," AM ",30189
"PSDB "," AM ",543349
"PSDB "," AM ",30102
"PSDC "," AM ",663595
"PSDC "," AM ",45801
"PSL "," AM ",70461
"PSOL "," AM ",45881
"PSTU "," AM ",378003
"PSTU "," AM ",495767
"PT "," AM ",495765
"PT "," AM ",30255
"PT do B "," AM ",30262
"PTB "," AM ",30129
"PTC "," AM ",1351335
"PTN "," AM ",30239
"PV "," AM ",30070
"SD "," AM ",45610
"DEM "," AP ",1326458
"DEM "," AP ",36887
"PC do B "," AP ",736317
"PC do B "," AP ",639439
"PCB "," AP ",3594968
"PDT "," AP ",931976
"PDT "," AP ",44234
"PEN "," AP ",43672
"PHS "," AP ",49549
"PMDB "," AP ",36868
"PMN "," AP ",36856
"PP "," AP ",36849
"PPL "," AP ",567235
"PPS "," AP ",36845
"PR "," AP ",36894
"PRB "," AP ",36872
"PROS "," AP ",36842
"PRP "," AP ",49145
"PRTB "," AP ",1054787
"PRTB "," AP ",36852
"PSB "," AP ",931972
"PSB "," AP ",36860
"PSC "," AP ",36834
"PSD "," AP ",736314
"PSD "," AP ",36864
"PSDB "," AP ",639440
"PSDB "," AP ",36830
"PSDC "," AP ",1550873
"PSL "," AP ",3594956
"PSOL "," AP ",1079375
"PSOL "," AP ",37089
"PSTU "," AP ",931974
"PSTU "," AP ",36876
"PT "," AP ",36890
"PT do B "," AP ",1600925
"PT do B "," AP ",3594978
"PTB "," AP ",36838
"PTC "," AP ",543351
"PTN "," AP ",45763
"PV "," AP ",50343
"PV "," AP ",36881
"SD "," AP ",956513
"SD "," AP ",49550
"DEM "," BA ",31663
"PC do B "," BA ",33332
"PCB "," BA ",14856
"PDT "," BA ",495761
"PDT "," BA ",33004
"PEN "," BA ",1851674
"PEN "," BA ",43660
"PHS "," BA ",931979
"PHS "," BA ",33319
"PMDB "," BA ",6951
"PMN "," BA ",931980
"PMN "," BA ",8097
"PP "," BA ",28505
"PPL "," BA ",49261
"PPS "," BA ",33206
"PR "," BA ",31426
"PRB "," BA ",7312
"PROS "," BA ",48285
"PRP "," BA ",32723
"PRTB "," BA ",32304
"PSB "," BA ",17628
"PSC "," BA ",543355
"PSC "," BA ",8998
"PSD "," BA ",24111
"PSDB "," BA ",11163
"PSDC "," BA ",51161
"PSDC "," BA ",8708
"PSL "," BA ",31833
"PSOL "," BA ",29296
"PSTU "," BA ",49160
"PSTU "," BA ",7176
"PT "," BA ",43963
"PT do B "," BA ",31986
"PTB "," BA ",712042
"PTB "," BA ",8157
"PTC "," BA ",9284
"PTN "," BA ",32250
"PV "," BA ",32377
"SD "," BA ",49041
"DEM "," BR ",231
"PC do B "," BR ",215
"PCB "," BR ",663606
"PCB "," BR ",45703
"PCO "," BR ",956517
"PCO "," BR ",219
"PDT "," BR ",48988
"PDT "," BR ",239
"PEN "," BR ",43641
"PHS "," BR ",228
"PMDB "," BR ",217
"PMN "," BR ",238
"PP "," BR ",230
"PPL "," BR ",225
"PPS "," BR ",221
"PR "," BR ",232
"PRB "," BR ",44643
"PROS "," BR ",214
"PRP "," BR ",226
"PRTB "," BR ",49087
"PRTB "," BR ",216
"PSB "," BR ",52463
"PSB "," BR ",236
"PSC "," BR ",49093
"PSC "," BR ",235
"PSD "," BR ",223
"PSDB "," BR ",50342
"PSDB "," BR ",234
"PSDC "," BR ",956522
"PSDC "," BR ",218
"PSL "," BR ",44641
"PSOL "," BR ",49650
"PSOL "," BR ",44642
"PSTU "," BR ",48986
"PSTU "," BR ",220
"PT "," BR ",58981
"PT "," BR ",229
"PT do B "," BR ",233
"PTB "," BR ",227
"PTC "," BR ",237
"PTN "," BR ",222
"PV "," BR ",49367
"PV "," BR ",224
"SD "," BR ",46001
"DEM "," CE ",956515
"DEM "," CE ",956516
"DEM "," CE ",8994
"PC do B "," CE ",9229
"PCB "," CE ",931977
"PCB "," CE ",19239
"PDT "," CE ",9193
"PEN "," CE ",43647
"PHS "," CE ",712041
"PHS "," CE ",8961
"PMDB "," CE ",663588
"PMDB "," CE ",9238
"PMN "," CE ",663587
"PMN "," CE ",9386
"PP "," CE ",639431
"PP "," CE ",17917
